index;type;loc_origin;time_origin;loc_destination;time_destination;volume;size
0;o;0;0;6;10;1;S
1;o;0;0;16;10;1;S
2;o;0;0;21;10;1;S
3;o;0;0;25;10;1;S
4;o;0;0;12;10;1;S
5;o;0;0;34;10;1;S
6;o;0;0;15;10;1;S
7;o;0;0;4;10;1;S
8;o;0;0;14;10;1;S
9;o;0;0;40;10;1;S
10;o;0;0;2;10;1;S
11;o;0;0;12;10;1;S
12;o;0;0;35;10;1;S
13;o;0;0;5;10;1;S
14;o;0;0;36;10;1;S
15;o;0;0;7;10;1;S
16;o;0;0;7;10;1;S
17;o;0;0;9;10;1;S
18;o;0;0;27;10;1;S
19;o;0;0;9;10;1;S
20;o;0;0;21;10;1;S
21;o;0;0;34;10;1;S
22;o;0;0;10;10;1;S
23;o;0;0;30;10;1;S
24;o;0;0;27;10;1;S
25;o;0;0;33;10;2;M
26;o;0;0;29;10;2;M
27;o;0;0;18;10;2;M
28;o;0;0;27;10;2;M
29;o;0;0;33;10;2;M
30;o;0;0;34;10;2;M
31;o;0;0;16;10;2;M
32;o;0;0;3;10;2;M
33;o;0;0;35;10;2;M
34;o;0;0;35;10;2;M
35;o;0;0;21;10;2;M
36;o;0;0;9;10;2;M
37;o;0;0;32;10;2;M
38;o;0;0;39;10;2;M
39;o;0;0;5;10;2;M
40;o;0;0;19;10;2;M
41;o;0;0;15;10;2;M
42;o;0;0;30;10;2;M
43;o;0;0;5;10;2;M
44;o;0;0;40;10;2;M
45;o;0;0;32;10;2;M
46;o;0;0;3;10;2;M
47;o;0;0;33;10;2;M
48;o;0;0;22;10;2;M
49;o;0;0;16;10;2;M
50;o;0;0;37;10;3;L
51;o;0;0;4;10;3;L
52;o;0;0;19;10;3;L
53;o;0;0;1;10;3;L
54;o;0;0;20;10;3;L
55;o;0;0;30;10;3;L
56;o;0;0;38;10;3;L
57;o;0;0;27;10;3;L
58;o;0;0;11;10;3;L
59;o;0;0;20;10;3;L
60;o;0;0;25;10;3;L
61;o;0;0;2;10;3;L
62;o;0;0;28;10;3;L
63;o;0;0;15;10;3;L
64;o;0;0;12;10;3;L
65;o;0;0;17;10;3;L
66;o;0;0;11;10;3;L
67;o;0;0;12;10;3;L
68;o;0;0;4;10;3;L
69;o;0;0;13;10;3;L
70;o;0;0;20;10;3;L
71;o;0;0;24;10;3;L
72;o;0;0;30;10;3;L
73;o;0;0;26;10;3;L
74;o;0;0;37;10;3;L
75;i;1;0;0;10;1;S
76;i;37;0;0;10;1;S
77;i;31;0;0;10;1;S
78;i;7;0;0;10;1;S
79;i;29;0;0;10;1;S
80;i;35;0;0;10;1;S
81;i;8;0;0;10;1;S
82;i;20;0;0;10;1;S
83;i;40;0;0;10;1;S
84;i;21;0;0;10;1;S
85;i;25;0;0;10;1;S
86;i;16;0;0;10;1;S
87;i;8;0;0;10;1;S
88;i;23;0;0;10;1;S
89;i;30;0;0;10;1;S
90;i;7;0;0;10;1;S
91;i;7;0;0;10;1;S
92;i;26;0;0;10;1;S
93;i;10;0;0;10;1;S
94;i;14;0;0;10;1;S
95;i;32;0;0;10;1;S
96;i;1;0;0;10;1;S
97;i;6;0;0;10;1;S
98;i;20;0;0;10;1;S
99;i;4;0;0;10;1;S
100;i;23;0;0;10;1;S
101;i;5;0;0;10;1;S
102;i;4;0;0;10;1;S
103;i;37;0;0;10;1;S
104;i;4;0;0;10;1;S
105;i;4;0;0;10;1;S
106;i;35;0;0;10;1;S
107;i;16;0;0;10;1;S
108;i;36;0;0;10;1;S
109;i;19;0;0;10;1;S
110;i;20;0;0;10;1;S
111;i;18;0;0;10;1;S
112;i;36;0;0;10;1;S
113;i;33;0;0;10;1;S
114;i;22;0;0;10;1;S
115;i;7;0;0;10;1;S
116;i;19;0;0;10;1;S
117;i;39;0;0;10;1;S
118;i;16;0;0;10;1;S
119;i;35;0;0;10;1;S
120;i;4;0;0;10;1;S
121;i;9;0;0;10;1;S
122;i;16;0;0;10;1;S
123;i;24;0;0;10;1;S
124;i;17;0;0;10;1;S
125;i;38;0;0;10;1;S
126;i;2;0;0;10;1;S
127;i;24;0;0;10;1;S
128;i;3;0;0;10;1;S
129;i;15;0;0;10;1;S
130;i;23;0;0;10;1;S
131;i;34;0;0;10;1;S
132;i;15;0;0;10;1;S
133;i;39;0;0;10;1;S
134;i;38;0;0;10;1;S
135;i;13;0;0;10;1;S
136;i;10;0;0;10;1;S
137;i;39;0;0;10;1;S
138;i;19;0;0;10;1;S
139;i;6;0;0;10;1;S
140;i;18;0;0;10;1;S
141;i;35;0;0;10;1;S
142;i;21;0;0;10;1;S
143;i;26;0;0;10;1;S
144;i;37;0;0;10;1;S
145;i;6;0;0;10;1;S
146;i;37;0;0;10;1;S
147;i;16;0;0;10;1;S
148;i;26;0;0;10;1;S
149;i;31;0;0;10;1;S
150;i;39;0;0;10;2;M
151;i;5;0;0;10;2;M
152;i;36;0;0;10;2;M
153;i;1;0;0;10;2;M
154;i;21;0;0;10;2;M
155;i;15;0;0;10;2;M
156;i;12;0;0;10;2;M
157;i;33;0;0;10;2;M
158;i;35;0;0;10;2;M
159;i;11;0;0;10;2;M
160;i;28;0;0;10;2;M
161;i;24;0;0;10;2;M
162;i;15;0;0;10;2;M
163;i;35;0;0;10;2;M
164;i;36;0;0;10;2;M
165;i;36;0;0;10;2;M
166;i;23;0;0;10;2;M
167;i;10;0;0;10;2;M
168;i;29;0;0;10;2;M
169;i;14;0;0;10;2;M
170;i;20;0;0;10;2;M
171;i;12;0;0;10;2;M
172;i;14;0;0;10;2;M
173;i;40;0;0;10;2;M
174;i;12;0;0;10;2;M
175;i;36;0;0;10;2;M
176;i;21;0;0;10;2;M
177;i;9;0;0;10;2;M
178;i;22;0;0;10;2;M
179;i;36;0;0;10;2;M
180;i;36;0;0;10;2;M
181;i;12;0;0;10;2;M
182;i;20;0;0;10;2;M
183;i;1;0;0;10;2;M
184;i;8;0;0;10;2;M
185;i;2;0;0;10;2;M
186;i;40;0;0;10;2;M
187;i;24;0;0;10;2;M
188;i;27;0;0;10;2;M
189;i;31;0;0;10;2;M
190;i;15;0;0;10;2;M
191;i;22;0;0;10;2;M
192;i;29;0;0;10;2;M
193;i;32;0;0;10;2;M
194;i;26;0;0;10;2;M
195;i;2;0;0;10;2;M
196;i;3;0;0;10;2;M
197;i;12;0;0;10;2;M
198;i;38;0;0;10;2;M
199;i;4;0;0;10;2;M
200;i;11;0;0;10;2;M
201;i;28;0;0;10;2;M
202;i;12;0;0;10;2;M
203;i;32;0;0;10;2;M
204;i;20;0;0;10;2;M
205;i;35;0;0;10;2;M
206;i;15;0;0;10;2;M
207;i;34;0;0;10;2;M
208;i;8;0;0;10;2;M
209;i;21;0;0;10;2;M
210;i;18;0;0;10;2;M
211;i;32;0;0;10;2;M
212;i;15;0;0;10;2;M
213;i;35;0;0;10;2;M
214;i;24;0;0;10;2;M
215;i;10;0;0;10;2;M
216;i;9;0;0;10;2;M
217;i;19;0;0;10;2;M
218;i;27;0;0;10;2;M
219;i;38;0;0;10;2;M
220;i;30;0;0;10;2;M
221;i;3;0;0;10;2;M
222;i;1;0;0;10;2;M
223;i;8;0;0;10;2;M
224;i;32;0;0;10;2;M
225;i;21;0;0;10;3;L
226;i;24;0;0;10;3;L
227;i;16;0;0;10;3;L
228;i;20;0;0;10;3;L
229;i;25;0;0;10;3;L
230;i;15;0;0;10;3;L
231;i;29;0;0;10;3;L
232;i;28;0;0;10;3;L
233;i;13;0;0;10;3;L
234;i;23;0;0;10;3;L
235;i;6;0;0;10;3;L
236;i;29;0;0;10;3;L
237;i;29;0;0;10;3;L
238;i;26;0;0;10;3;L
239;i;12;0;0;10;3;L
240;i;9;0;0;10;3;L
241;i;22;0;0;10;3;L
242;i;12;0;0;10;3;L
243;i;7;0;0;10;3;L
244;i;15;0;0;10;3;L
245;i;4;0;0;10;3;L
246;i;10;0;0;10;3;L
247;i;16;0;0;10;3;L
248;i;31;0;0;10;3;L
249;i;7;0;0;10;3;L
