index;type;loc_origin;time_origin;loc_destination;time_destination;volume;size
0;o;0;0;2;10;1;S
1;o;0;0;10;10;1;S
2;o;1;0;2;10;1;S
3;o;1;0;9;10;1;S
4;o;0;0;4;10;1;S
5;o;1;0;9;10;1;S
6;o;0;0;4;10;1;S
7;o;0;0;6;10;2;M
8;o;1;0;3;10;2;M
9;o;0;0;8;10;2;M
10;o;1;0;7;10;2;M
11;o;0;0;9;10;2;M
12;o;0;0;4;10;2;M
13;o;1;0;3;10;3;L
14;o;0;0;8;10;3;L
15;o;1;0;7;10;3;L
16;o;0;0;7;10;3;L
17;o;0;0;11;10;3;L
18;o;1;0;4;10;3;L
19;i;11;0;0;10;1;S
20;i;6;0;1;10;1;S
21;i;2;0;1;10;2;M
22;i;3;0;1;10;2;M
23;i;10;0;0;10;3;L
24;i;9;0;1;10;3;L
