index;type;loc_origin;time_origin;loc_destination;time_destination;volume;size
0;o;1;0;3;10;1;S
1;o;1;0;12;10;1;S
2;o;1;0;12;10;1;S
3;o;0;0;17;10;1;S
4;o;1;0;14;10;1;S
5;o;1;0;11;10;1;S
6;o;1;0;2;10;1;S
7;o;0;0;3;10;1;S
8;o;1;0;17;10;1;S
9;o;0;0;12;10;1;S
10;o;1;0;5;10;1;S
11;o;1;0;21;10;1;S
12;o;1;0;21;10;1;S
13;o;0;0;16;10;1;S
14;o;0;0;17;10;1;S
15;o;0;0;18;10;1;S
16;o;1;0;14;10;1;S
17;o;1;0;18;10;1;S
18;o;1;0;9;10;1;S
19;o;0;0;2;10;1;S
20;o;0;0;17;10;1;S
21;o;1;0;10;10;1;S
22;o;0;0;9;10;1;S
23;o;0;0;11;10;1;S
24;o;0;0;17;10;1;S
25;o;0;0;7;10;2;M
26;o;0;0;10;10;2;M
27;o;1;0;15;10;2;M
28;o;0;0;2;10;2;M
29;o;1;0;15;10;2;M
30;o;0;0;7;10;2;M
31;o;1;0;17;10;2;M
32;o;1;0;17;10;2;M
33;o;1;0;19;10;2;M
34;o;1;0;12;10;2;M
35;o;0;0;9;10;2;M
36;o;1;0;16;10;2;M
37;o;1;0;5;10;2;M
38;o;0;0;10;10;2;M
39;o;0;0;18;10;2;M
40;o;0;0;10;10;2;M
41;o;0;0;19;10;2;M
42;o;0;0;10;10;2;M
43;o;0;0;4;10;2;M
44;o;0;0;17;10;2;M
45;o;0;0;13;10;2;M
46;o;0;0;6;10;2;M
47;o;1;0;9;10;2;M
48;o;1;0;8;10;2;M
49;o;0;0;12;10;2;M
50;o;1;0;13;10;3;L
51;o;1;0;19;10;3;L
52;o;1;0;19;10;3;L
53;o;0;0;16;10;3;L
54;o;1;0;15;10;3;L
55;o;1;0;8;10;3;L
56;o;1;0;5;10;3;L
57;o;0;0;16;10;3;L
58;o;0;0;18;10;3;L
59;o;1;0;3;10;3;L
60;o;0;0;16;10;3;L
61;o;1;0;18;10;3;L
62;o;1;0;17;10;3;L
63;o;1;0;11;10;3;L
64;o;0;0;7;10;3;L
65;o;1;0;10;10;3;L
66;o;1;0;2;10;3;L
67;o;0;0;8;10;3;L
68;o;0;0;15;10;3;L
69;o;1;0;15;10;3;L
70;o;1;0;14;10;3;L
71;o;1;0;13;10;3;L
72;o;1;0;14;10;3;L
73;o;1;0;15;10;3;L
74;o;1;0;9;10;3;L
75;i;15;0;0;10;1;S
76;i;2;0;0;10;1;S
77;i;6;0;1;10;1;S
78;i;14;0;1;10;1;S
79;i;15;0;0;10;1;S
80;i;14;0;1;10;1;S
81;i;16;0;1;10;1;S
82;i;7;0;0;10;1;S
83;i;12;0;1;10;1;S
84;i;5;0;0;10;2;M
85;i;16;0;1;10;2;M
86;i;5;0;0;10;2;M
87;i;21;0;1;10;2;M
88;i;5;0;1;10;2;M
89;i;4;0;0;10;2;M
90;i;11;0;1;10;2;M
91;i;12;0;1;10;2;M
92;i;16;0;0;10;3;L
93;i;3;0;1;10;3;L
94;i;13;0;1;10;3;L
95;i;21;0;1;10;3;L
96;i;21;0;1;10;3;L
97;i;7;0;0;10;3;L
98;i;14;0;1;10;3;L
99;i;10;0;1;10;3;L
