from_location;to_location;dist
0.0;0.0;0.0
0.0;1.0;8.1401
0.0;2.0;8.8245
0.0;3.0;9.148700000000002
0.0;4.0;7.7106
0.0;5.0;7.1682
0.0;6.0;6.767600000000001
0.0;7.0;5.1899
0.0;8.0;6.6951
0.0;9.0;8.751100000000001
0.0;10.0;6.5949
1.0;0.0;8.1605
1.0;1.0;0.0
1.0;2.0;1.1628
1.0;3.0;1.487
1.0;4.0;1.3836
1.0;5.0;1.9287
1.0;6.0;2.3926999999999996
1.0;7.0;2.9663000000000004
1.0;8.0;3.0998
1.0;9.0;2.5648
1.0;10.0;3.413
2.0;0.0;9.4089
2.0;1.0;2.1404
2.0;2.0;0.0
2.0;3.0;1.0027000000000001
2.0;4.0;2.632
2.0;5.0;3.1771
2.0;6.0;3.6411
2.0;7.0;3.045
2.0;8.0;3.6884
2.0;9.0;1.9717
2.0;10.0;4.0016
3.0;0.0;9.4021
3.0;1.0;2.1336
3.0;2.0;1.3949
3.0;3.0;0.0
3.0;4.0;2.6252
3.0;5.0;3.1703
3.0;6.0;3.6343
3.0;7.0;2.8356999999999997
3.0;8.0;3.6761999999999997
3.0;9.0;1.472
3.0;10.0;3.9894000000000003
4.0;0.0;8.1625
4.0;1.0;1.3297999999999999
4.0;2.0;1.8005
4.0;3.0;2.1247
4.0;4.0;0.0
4.0;5.0;0.9741000000000001
4.0;6.0;2.3946
4.0;7.0;2.9682
4.0;8.0;3.1016999999999997
4.0;9.0;3.2025
4.0;10.0;3.415
5.0;0.0;7.345899999999999
5.0;1.0;2.0359000000000003
5.0;2.0;2.8289
5.0;3.0;3.153
5.0;4.0;1.1351
5.0;5.0;0.0
5.0;6.0;1.9617
5.0;7.0;2.8371999999999997
5.0;8.0;3.3508
5.0;9.0;4.230899999999999
5.0;10.0;3.664
6.0;0.0;6.528
6.0;1.0;2.1847
6.0;2.0;2.8691
6.0;3.0;3.1933000000000002
6.0;4.0;2.4360999999999997
6.0;5.0;2.0622
6.0;6.0;0.0
6.0;7.0;0.9152
6.0;8.0;2.4204
6.0;9.0;4.271100000000001
6.0;10.0;2.3202
7.0;0.0;7.589
7.0;1.0;2.1946
7.0;2.0;3.1841
7.0;3.0;2.2106
7.0;4.0;2.7511
7.0;5.0;3.0194
7.0;6.0;1.0194
7.0;7.0;0.0
7.0;8.0;1.6763
7.0;9.0;3.5521
7.0;10.0;1.8789
8.0;0.0;8.335899999999999
8.0;1.0;2.5686999999999998
8.0;2.0;3.5583
8.0;3.0;2.8084000000000002
8.0;4.0;3.1252
8.0;5.0;3.4071
8.0;6.0;2.1208
8.0;7.0;1.2655
8.0;8.0;0.0
8.0;9.0;2.8116999999999996
8.0;10.0;0.455
9.0;0.0;10.513200000000001
9.0;1.0;2.7553
9.0;2.0;2.0166
9.0;3.0;1.6176
9.0;4.0;3.2468000000000004
9.0;5.0;3.792
9.0;6.0;4.298100000000001
9.0;7.0;3.4428
9.0;8.0;2.3190999999999997
9.0;9.0;0.0
9.0;10.0;2.6323000000000003
10.0;0.0;8.0444
10.0;1.0;2.9246999999999996
10.0;2.0;3.9141999999999997
10.0;3.0;3.5868
10.0;4.0;3.4812
10.0;5.0;3.8293000000000004
10.0;6.0;1.8293
10.0;7.0;0.974
10.0;8.0;0.8232999999999999
10.0;9.0;2.9941999999999998
10.0;10.0;0.0
