index;type;loc_origin;time_origin;loc_destination;time_destination;volume;size
0;o;1;0;11;10;1;S
1;o;0;0;7;10;1;S
2;o;0;0;9;10;1;S
3;o;0;0;3;10;1;S
4;o;1;0;10;10;1;S
5;o;1;0;9;10;1;S
6;o;0;0;3;10;1;S
7;o;0;0;6;10;1;S
8;o;1;0;10;10;1;S
9;o;1;0;3;10;1;S
10;o;0;0;2;10;1;S
11;o;1;0;5;10;1;S
12;o;1;0;7;10;1;S
13;o;0;0;8;10;2;M
14;o;1;0;5;10;2;M
15;o;1;0;3;10;2;M
16;o;1;0;11;10;2;M
17;o;1;0;9;10;2;M
18;o;1;0;2;10;2;M
19;o;0;0;10;10;2;M
20;o;1;0;4;10;2;M
21;o;0;0;7;10;2;M
22;o;1;0;4;10;2;M
23;o;1;0;9;10;2;M
24;o;0;0;9;10;2;M
25;o;1;0;4;10;2;M
26;o;1;0;4;10;3;L
27;o;1;0;7;10;3;L
28;o;1;0;9;10;3;L
29;o;0;0;6;10;3;L
30;o;1;0;9;10;3;L
31;o;0;0;10;10;3;L
32;o;1;0;9;10;3;L
33;o;0;0;7;10;3;L
34;o;0;0;4;10;3;L
35;o;1;0;7;10;3;L
36;o;0;0;10;10;3;L
37;o;0;0;7;10;3;L
38;i;2;0;1;10;1;S
39;i;6;0;0;10;1;S
40;i;5;0;1;10;1;S
41;i;6;0;0;10;1;S
42;i;4;0;1;10;1;S
43;i;6;0;1;10;1;S
44;i;2;0;0;10;1;S
45;i;10;0;1;10;1;S
46;i;2;0;1;10;1;S
47;i;6;0;1;10;1;S
48;i;5;0;0;10;1;S
49;i;7;0;1;10;1;S
50;i;6;0;1;10;1;S
51;i;9;0;1;10;2;M
52;i;10;0;1;10;2;M
53;i;5;0;0;10;2;M
54;i;2;0;1;10;2;M
55;i;5;0;1;10;2;M
56;i;3;0;0;10;2;M
57;i;4;0;1;10;2;M
58;i;8;0;0;10;2;M
59;i;2;0;1;10;2;M
60;i;7;0;1;10;2;M
61;i;4;0;1;10;2;M
62;i;5;0;1;10;2;M
63;i;10;0;0;10;3;L
64;i;8;0;0;10;3;L
65;i;6;0;0;10;3;L
66;i;11;0;0;10;3;L
67;i;6;0;1;10;3;L
68;i;7;0;1;10;3;L
69;i;10;0;1;10;3;L
70;i;11;0;1;10;3;L
71;i;8;0;1;10;3;L
72;i;7;0;0;10;3;L
73;i;9;0;1;10;3;L
74;i;10;0;0;10;3;L
