index;type;loc_origin;time_origin;loc_destination;time_destination;volume;size
0;o;1;0;2;22;1;S
1;o;0;0;7;22;1;S
2;o;0;0;5;22;1;S
3;o;1;0;6;22;1;S
4;o;0;0;9;22;1;S
5;o;0;0;6;22;1;S
6;o;1;0;10;22;1;S
7;o;0;0;7;22;2;M
8;o;0;0;11;22;2;M
9;o;0;0;3;22;2;M
10;o;1;0;8;22;2;M
11;o;0;0;2;22;2;M
12;o;1;0;10;22;2;M
13;o;0;0;3;22;3;L
14;o;0;0;11;22;3;L
15;o;0;0;2;22;3;L
16;o;0;0;11;22;3;L
17;o;0;0;9;22;3;L
18;o;1;0;11;22;3;L
19;i;8;0;1;22;1;S
20;i;8;0;1;22;1;S
21;i;10;0;0;22;2;M
22;i;7;0;0;22;2;M
23;i;2;0;1;22;3;L
24;i;3;0;0;22;3;L
