index;type;loc_origin;time_origin;loc_destination;time_destination;volume;size
0;o;0;0;10;22;1;S
1;o;0;0;5;22;1;S
2;o;0;0;10;22;1;S
3;o;0;0;10;22;1;S
4;o;0;0;2;22;1;S
5;o;0;0;3;22;2;M
6;o;1;0;4;22;2;M
7;o;1;0;9;22;2;M
8;o;0;0;4;22;2;M
9;o;1;0;10;22;3;L
10;o;1;0;5;22;3;L
11;o;0;0;9;22;3;L
12;o;1;0;10;22;3;L
13;i;7;0;1;22;1;S
14;i;11;0;1;22;1;S
15;i;7;0;1;22;1;S
16;i;10;0;0;22;1;S
17;i;3;0;1;22;2;M
18;i;3;0;1;22;2;M
19;i;5;0;1;22;2;M
20;i;7;0;0;22;2;M
21;i;9;0;1;22;3;L
22;i;11;0;1;22;3;L
23;i;2;0;1;22;3;L
24;i;5;0;0;22;3;L
