index;type;loc_origin;time_origin;loc_destination;time_destination;volume;size
0;o;0;0;20;10;1;S
1;o;1;0;5;10;1;S
2;o;0;0;13;10;1;S
3;o;0;0;3;10;1;S
4;o;0;0;18;10;1;S
5;o;1;0;13;10;1;S
6;o;0;0;13;10;1;S
7;o;0;0;10;10;1;S
8;o;0;0;6;10;1;S
9;o;0;0;10;10;1;S
10;o;1;0;9;10;1;S
11;o;0;0;17;10;1;S
12;o;1;0;21;10;1;S
13;o;0;0;7;10;1;S
14;o;1;0;12;10;1;S
15;o;0;0;15;10;1;S
16;o;0;0;20;10;1;S
17;o;0;0;13;10;1;S
18;o;1;0;17;10;1;S
19;o;0;0;11;10;1;S
20;o;1;0;19;10;1;S
21;o;1;0;12;10;1;S
22;o;0;0;8;10;1;S
23;o;1;0;2;10;1;S
24;o;1;0;15;10;1;S
25;o;1;0;5;10;1;S
26;o;0;0;8;10;1;S
27;o;1;0;4;10;1;S
28;o;1;0;13;10;1;S
29;o;1;0;12;10;1;S
30;o;1;0;11;10;1;S
31;o;0;0;8;10;1;S
32;o;0;0;3;10;1;S
33;o;1;0;9;10;1;S
34;o;0;0;13;10;1;S
35;o;1;0;19;10;1;S
36;o;1;0;7;10;1;S
37;o;0;0;17;10;1;S
38;o;0;0;9;10;2;M
39;o;0;0;16;10;2;M
40;o;0;0;18;10;2;M
41;o;1;0;13;10;2;M
42;o;0;0;3;10;2;M
43;o;0;0;15;10;2;M
44;o;1;0;2;10;2;M
45;o;0;0;10;10;2;M
46;o;0;0;16;10;2;M
47;o;1;0;5;10;2;M
48;o;1;0;12;10;2;M
49;o;1;0;6;10;2;M
50;o;0;0;7;10;2;M
51;o;1;0;5;10;2;M
52;o;0;0;12;10;2;M
53;o;1;0;21;10;2;M
54;o;1;0;5;10;2;M
55;o;1;0;15;10;2;M
56;o;0;0;8;10;2;M
57;o;0;0;17;10;2;M
58;o;1;0;18;10;2;M
59;o;0;0;21;10;2;M
60;o;1;0;6;10;2;M
61;o;0;0;19;10;2;M
62;o;1;0;10;10;2;M
63;o;0;0;6;10;2;M
64;o;0;0;11;10;2;M
65;o;0;0;13;10;2;M
66;o;0;0;19;10;2;M
67;o;1;0;20;10;2;M
68;o;0;0;10;10;2;M
69;o;1;0;20;10;2;M
70;o;0;0;14;10;2;M
71;o;1;0;15;10;2;M
72;o;0;0;19;10;2;M
73;o;0;0;8;10;2;M
74;o;0;0;21;10;2;M
75;o;0;0;7;10;2;M
76;o;1;0;6;10;3;L
77;o;1;0;16;10;3;L
78;o;0;0;5;10;3;L
79;o;0;0;20;10;3;L
80;o;0;0;6;10;3;L
81;o;0;0;10;10;3;L
82;o;1;0;12;10;3;L
83;o;1;0;20;10;3;L
84;o;1;0;4;10;3;L
85;o;0;0;19;10;3;L
86;o;0;0;19;10;3;L
87;o;1;0;20;10;3;L
88;o;1;0;5;10;3;L
89;o;0;0;9;10;3;L
90;o;0;0;19;10;3;L
91;o;1;0;14;10;3;L
92;o;0;0;17;10;3;L
93;o;1;0;13;10;3;L
94;o;0;0;16;10;3;L
95;o;0;0;20;10;3;L
96;o;1;0;2;10;3;L
97;o;0;0;21;10;3;L
98;o;0;0;16;10;3;L
99;o;1;0;11;10;3;L
100;o;1;0;3;10;3;L
101;o;0;0;13;10;3;L
102;o;1;0;9;10;3;L
103;o;1;0;20;10;3;L
104;o;1;0;8;10;3;L
105;o;0;0;12;10;3;L
106;o;1;0;4;10;3;L
107;o;0;0;15;10;3;L
108;o;1;0;15;10;3;L
109;o;0;0;13;10;3;L
110;o;0;0;15;10;3;L
111;o;0;0;21;10;3;L
112;o;1;0;17;10;3;L
113;i;19;0;0;10;1;S
114;i;2;0;1;10;1;S
115;i;14;0;1;10;1;S
116;i;4;0;0;10;1;S
117;i;10;0;1;10;1;S
118;i;10;0;1;10;1;S
119;i;19;0;1;10;1;S
120;i;7;0;0;10;1;S
121;i;18;0;1;10;1;S
122;i;18;0;1;10;1;S
123;i;18;0;0;10;1;S
124;i;16;0;0;10;1;S
125;i;2;0;1;10;1;S
126;i;20;0;0;10;2;M
127;i;3;0;0;10;2;M
128;i;18;0;1;10;2;M
129;i;16;0;0;10;2;M
130;i;10;0;1;10;2;M
131;i;20;0;0;10;2;M
132;i;14;0;0;10;2;M
133;i;4;0;1;10;2;M
134;i;18;0;0;10;2;M
135;i;13;0;1;10;2;M
136;i;2;0;1;10;2;M
137;i;20;0;0;10;2;M
138;i;11;0;0;10;3;L
139;i;11;0;0;10;3;L
140;i;13;0;1;10;3;L
141;i;3;0;1;10;3;L
142;i;17;0;0;10;3;L
143;i;17;0;1;10;3;L
144;i;21;0;1;10;3;L
145;i;16;0;1;10;3;L
146;i;5;0;0;10;3;L
147;i;14;0;1;10;3;L
148;i;6;0;0;10;3;L
149;i;8;0;1;10;3;L
